text,intent
I want to know: hey there,GREETING
Please check the data quality of orders.,DATA_QUALITY
Could you find the average product rating.,AVERAGE
Please rank products by rating.,RANKING
Can you check the data quality of orders.,DATA_QUALITY
Can you what is the ratio between product reviews and products?,RATIO
Show the bottom 5 orders by amount.,BOTTOM_N
I want to know: what percentage of customers are from Delhi?,PERCENTAGE
Please show orders from January.,DATE_FILTER
Could you which customer accounts for the largest share of spending?,SHARE
Can you list every product with reviews if available.,LEFT_JOIN
Please hi QueryPilot,GREETING
I want to know: hello there?,GREETING
I want to know: sort orders by date.,SORT
Could you analyze the distribution of review ratings.,DISTRIBUTION
I want to know: list every customer and their orders if they have any.,LEFT_JOIN
Show the bottom 50 customers by number of orders.,BOTTOM_N
Find orders above 1000.,FILTER
Show orders from last month.,FILTER
Can you show the structure of products.,TABLE_INFO
Could you hello,GREETING
Which orders have no items?,NOT_EXISTS
I want to know: find orders with amounts greater than the average order amount.,SUBQUERY
Please how are customers and orders related?,RELATIONSHIP_INFO
Could you tell me about the database structure.,SCHEMA_INFO
Can you find customers whose spending is above the average customer spending.,SUBQUERY
I need to know: calculate yearly order totals.,DATE_AGGREGATION
I want to know: show products priced below 500.,FILTER
I want to know: describe the orders table.,TABLE_INFO
I need to know: show each product's contribution to total revenue.,CONTRIBUTION
Can you show products ordered by rating.,SORT
I need to know: what entities are stored in the database?,SCHEMA_INFO
I need to know: identify duplicate entries in the database.,DUPLICATE_CHECK
I need to know: update every customer record.,UNSUPPORTED_REQUEST
Please show customers from Pune.,FILTER
I need to know: what is the number of order records?,COUNT
I need to know: how are orders and order items related?,RELATIONSHIP_INFO
I want to know: how are orders distributed by amount?,DISTRIBUTION
Could you calculate the ratio of high rated products to all products.,RATIO
I want to know: analyze the change in sales over time.,TREND
Please calculate the average order value.,AVERAGE
I want to know: what percentage of reviews have a rating above 4?,PERCENTAGE
Could you how many order records are there?,COUNT
How are product prices distributed?,DISTRIBUTION
Could you what is the number of customer records?,COUNT
Could you how are products and reviews related?,RELATIONSHIP_INFO
Show the top 20 orders by amount.,TOP_N
I need to know: give me the top 20 products with the most reviews.,TOP_N
Please show the number of orders for each customer.,GROUP_BY
I want to know: show orders from highest amount to lowest.,SORT
Can you show all unique customer locations.,DISTINCT
I need to know: show customers whose total spending exceeds 10000.,HAVING
Delete all reviews.,UNSUPPORTED_REQUEST
Please what columns are in the order_items table?,TABLE_INFO
I want to know: group customers by orders and show groups with more than 10 orders.,HAVING
Find orders placed this month.,DATE_FILTER
I want to know: drop the customers table.,UNSUPPORTED_REQUEST
Could you sort products by rating.,SORT
I need to know: show customers who have placed an order.,EXISTS
Could you what is the ranking of products by price?,RANKING
Please show customers with at least 10 orders.,HAVING
Please which tables can be joined with products?,RELATIONSHIP_INFO
Show products without reviews.,NOT_EXISTS
Could you find orders that contain order items.,EXISTS
I want to know: hello?,GREETING
Could you show the top 3 orders by amount.,TOP_N
Please what is the number of order records?,COUNT
Can you show the bottom 50 products by price.,BOTTOM_N
Show all products including products without reviews.,LEFT_JOIN
Can you how are orders changing over time?,TREND
Can you change the database password.,UNSUPPORTED_REQUEST
I need to know: which ratings have more than 100 reviews?,HAVING
I need to know: show the complete customer order history with products.,MULTI_TABLE_JOIN
I need to know: what is the ratio of orders to customers?,RATIO
Can you are there duplicate products?,DATA_QUALITY
Check the data quality of orders.,DATA_QUALITY
Please what percentage of customers are from Delhi?,PERCENTAGE
asdfgh,INVALID_QUERY
Can you i don't know what to ask,INVALID_QUERY
Can you list customers from Mumbai.,FILTER
Please show the bottom 3 customers by spending.,BOTTOM_N
Could you show me the database schema.,SCHEMA_INFO
I need to know: what is the total number of products?,COUNT
Can you identify duplicate entries in the database.,DUPLICATE_CHECK
I need to know: modify the database configuration.,UNSUPPORTED_REQUEST
Please something random?,INVALID_QUERY
Please show all orders including orders without order items.,LEFT_JOIN
I want to know: how many product records are there?,COUNT
Could you calculate the percentage of orders from this month.,PERCENTAGE
Could you show products priced above the average product price.,SUBQUERY
Show the top 3 products by price.,TOP_N
I want to know: what share of total sales comes from each customer?,SHARE
I want to know: give me a breakdown of orders by customer.,GROUP_BY
I need to know: compare sales between two periods.,COMPARISON
I need to know: how many product records are there?,COUNT
I want to know: order customers by their total spending.,SORT
Please show all customers including those without orders.,LEFT_JOIN
Which customers have written reviews?,JOIN
What is the growth in sales?,GROWTH
Could you which products have reviews?,EXISTS
Please compare sales between two periods.,COMPARISON
I want to know: how many product reviews are there?,COUNT
Show orders from September.,DATE_FILTER
I want to know: show the top 50 customers by number of orders.,TOP_N
I want to know: this is not a database question?,INVALID_QUERY
Could you which orders have order items?,EXISTS
Can you show the top 20 products by price.,TOP_N
Can you what is the total value of all orders?,SUM
Could you show each product's contribution to total revenue.,CONTRIBUTION
I want to know: which products contribute most to total sales?,CONTRIBUTION
I want to know: show the bottom 5 products by rating.,BOTTOM_N
I want to know: show the bottom 50 customers by number of orders.,BOTTOM_N
List customers from Pune.,FILTER
Could you identify repeated customer records.,DUPLICATE_CHECK
What is the minimum customer spending?,MINIMUM
I need to know: what is the average product rating?,AVERAGE
I need to know: what columns are in the customers table?,TABLE_INFO
Please show all products including products without reviews.,LEFT_JOIN
Please what is the ratio of reviews to products?,RATIO
Please show the bottom 3 orders by amount.,BOTTOM_N
Could you which customers have written reviews?,JOIN
Can you check the data quality of order items.,DATA_QUALITY
Please what share of revenue comes from each product?,SHARE
Can you show products along with their orders and customers.,MULTI_TABLE_JOIN
Find orders above 5000.,FILTER
Please what is the highest product rating?,MAXIMUM
Can you show the bottom 5 customers by spending.,BOTTOM_N
Can you this is not a database question,INVALID_QUERY
I want to know: show the trend in sales over time.,TREND
I need to know: how did revenue change between months?,CHANGE_OVER_TIME
Please tell me about the database structure.,SCHEMA_INFO
List customers from Kolkata.,FILTER
I need to know: what is the lowest product price?,MINIMUM
Can you what is the total order amount?,SUM
Can you group customers by orders and show groups with more than 10 orders.,HAVING
Please find products priced above 5000.,FILTER
I want to know: find orders without order items.,NOT_EXISTS
Please check customers for duplicate records.,DUPLICATE_CHECK
Can you how are orders and order items related?,RELATIONSHIP_INFO
I need to know: show monthly sales trends.,TREND
Please what is the total value of all orders?,SUM
I want to know: show the complete customer order history with products.,MULTI_TABLE_JOIN
Can you compare the performance of two products.,COMPARISON
Show the top 10 products by rating.,TOP_N
Can you show orders with customer information.,JOIN
I need to know: what different product categories exist?,DISTINCT
I want to know: show monthly sales trends.,TREND
Could you compare order amounts between two periods.,COMPARISON
I need to know: find orders placed last month.,DATE_FILTER
Could you show average order amount by month.,DATE_AGGREGATION
Can you asdfgh?,INVALID_QUERY
I need to know: show orders from this month.,DATE_FILTER
Could you show the top 50 customers by number of orders.,TOP_N
How many product reviews exist?,COUNT
